selection,odds,probability,ratings,league,hometeam,awayteam,date,time,rate
Tottenham,1.27,88,4,England Premier League,Tottenham,Luton,30 Mar,15:00,15/17
Chelsea,1.33,92,5,England Premier League,Chelsea,Burnley,30 Mar,15:00,11/12
UTA Arad,1.9,73,4,Romania Liga I,UTA,Voluntari,Today,15:30,8/11
Liverpool,1.36,80,3,England Premier League,Liverpool,Brighton,31 Mar,14:00,8/10
Poland,1.18,70,0,Euro Qualifiers,Poland,Estonia,21 Mar,19:45,7/10
Stockport,1.95,60,2,England League Two,Crawley,Stockport,Today,19:45,6/10
FC Andorra,1.8,63,2,Spain Segunda,FC,Amorebieta,Today,19:30,5/8
Newcastle,1.8,71,3,England Premier League,Newcastle,Ham,30 Mar,12:30,5/7
Fulham,1.75,83,5,England Premier League,Sheff,Fulham,30 Mar,15:00,5/6
Georgia,1.91,83,5,Euro Qualifiers,Georgia,Luxembourg,21 Mar,17:00,5/6
Petrolul Ploiesti,2.15,83,5,Romania Liga I,Petrolul,1948,Today,18:30,5/6
Barnet,1.33,83,3,England National League,Barnet,Eastleigh,Tomorrow,19:45,5/6
Aston Villa,1.62,57,0,England Premier League,Aston,Wolverhampton,30 Mar,17:30,4/7
Man Utd,2.3,57,0,England Premier League,Brentford,Utd,30 Mar,20:00,4/7
Draw,3.2,67,0,Portugal Segunda Liga,Vilaverdense,Belenenses,Today,20:15,4/6
Man City,1.8,67,0,England Premier League,Man,Arsenal,31 Mar,16:30,4/6
USA,1.25,100,0,Copa America,USA,Bolivia,23 Jun,23:00,4/4
Leicester,1.75,100,0,England Championship,Bristol,Leicester,29 Mar,12:30,4/4
Barcelona,1.29,60,0,Spain Primera Liga,Barcelona,Palmas,30 Mar,20:00,3/5
Everton,3.3,33,0,England Premier League,Bournemouth,Everton,30 Mar,15:00,2/6
Nottm Forest,2.25,40,0,England Premier League,Nottm,Palace,30 Mar,15:00,2/5
Kazakhstan,10,40,0,Euro Qualifiers,Greece,Kazakhstan,21 Mar,19:45,2/5
Bradford,1.95,50,0,England League Two,Bradford,County,Tomorrow,19:45,2/4
Alloa,2.25,67,0,Scotland League One,Kelty,Alloa,Tomorrow,19:45,2/3
Panathinaikos,2.25,67,0,Greece Super League 1,Panathinaikos,Salonika,31 Mar,16:00,2/3
Finland,4.6,67,0,Euro Qualifiers,Wales,Finland,21 Mar,19:45,2/3
Norwich,1.45,100,0,England Championship,Norwich,Plymouth,29 Mar,15:00,2/2
Belgium,1.62,100,0,Euro 2020,Belgium,Slovakia,17 Jun,17:00,2/2
Mansfield,1.44,100,0,England League Two,Mansfield,Colchester,23 Mar,12:30,2/2
